,,,,,,,,,,,,,,n=100,,,,,
,,,,,1.893028,0.136816,3.1360858,0.6662792,2.687262,0.4343564,,0.6990504,0.0276578,6,,,,,
,,,,,1.8426762,0.1489556,3.1197498,0.6629534,2.6565886,0.450498,,0.343792,0.0369562,8,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2000,,,,,,,,
,,,,,,,,,,,speed,,,,,,,,
,,,,,,,,,,,0.979739,,,,,,,,
,,,,,,,,,,,1.846736,,,,,,,,
,,,,,,,,,,,3.041372,,,,,,,,
,,,,,,,,,,,3.274692,,,,,,,,
,,,,,,,,,,,3.602339,,,,,,,,
,,,,,,,,,,,4.197853,,,,,,,,
